common_name,latin_binomial,tax_order,notes
Evening Grosbeak,Coccothraustes vespertinus,375,
Pine Grosbeak,Pinicola enucleator,376,
House Finch,Haemorhous mexicanus,377,
Purple Finch,Haemorhous purpureus,378,
Common Redpoll,Acanthis flammea,379,
Hoary Redpoll,Acanthis hornemanni,380,Rare/Accidental
Red Crossbill,Loxia curvirostra,381,
White-winged Crossbill,Loxia leucoptera,382,
Pine Siskin,Spinus pinus,383,
American Goldfinch,Spinus tristis,384,
House Sparrow,Passer domesticus,385,Introduced species
